doi,url
10.1016/j.ijpharm.2025.126263,https://linkinghub.elsevier.com/retrieve/pii/S0378517325011007
10.1016/j.biomaterials.2025.123754,https://linkinghub.elsevier.com/retrieve/pii/S0142961225006738
10.1039/d5nr01452b,https://pubs.rsc.org/en/content/articlelanding/2025/nr/d5nr01452b
10.1039/d5sm00666j,https://pubs.rsc.org/en/content/articlelanding/2025/sm/d5sm00666j
10.1021/jacs.5c10908,https://pubs.acs.org/doi/10.1021/jacs.5c10908
10.1126/sciadv.ady6460,https://www.science.org/doi/10.1126/sciadv.ady6460
10.1021/acs.accounts.5c00522,https://pubs.acs.org/doi/10.1021/acs.accounts.5c00522
10.1002/adma.202513720,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202513720
10.1016/j.ijbiomac.2025.148058,https://linkinghub.elsevier.com/retrieve/pii/S0141813025086155
10.7150/thno.118976,https://www.thno.org/v15p9643.htm
10.1038/s41541-025-01263-1,https://www.nature.com/articles/s41541-025-01263-1
10.1016/j.omtm.2025.101585,https://linkinghub.elsevier.com/retrieve/pii/S2329050125001809
10.1016/j.jconrel.2025.114267,https://linkinghub.elsevier.com/retrieve/pii/S016836592500879X
10.3390/pharmaceutics17091194,https://www.mdpi.com/1999-4923/17/9/1194
10.1101/2025.09.15.676190,https://www.biorxiv.org/lookup/doi/10.1101/2025.09.15.676190
10.1038/s41467-025-63651-4,https://www.nature.com/articles/s41467-025-63651-4
10.1016/j.jconrel.2025.114258,https://linkinghub.elsevier.com/retrieve/pii/S0168365925008703
10.1021/acs.nanolett.5c03793,https://pubs.acs.org/doi/10.1021/acs.nanolett.5c03793
10.1016/j.biomaterials.2025.123698,https://linkinghub.elsevier.com/retrieve/pii/S0142961225006179
10.1002/smll.202506812,https://onlinelibrary.wiley.com/doi/10.1002/smll.202506812
10.1016/j.ijpharm.2025.126183,https://linkinghub.elsevier.com/retrieve/pii/S0378517325010208
10.1016/j.jcis.2025.139025,https://linkinghub.elsevier.com/retrieve/pii/S0021979725024178
10.1021/acs.bioconjchem.5c00303,https://pubs.acs.org/doi/10.1021/acs.bioconjchem.5c00303
10.1021/jacs.5c08376,https://pubs.acs.org/doi/10.1021/jacs.5c08376
10.1021/acs.jpcb.5c04980,https://pubs.acs.org/doi/10.1021/acs.jpcb.5c04980
10.1016/j.jconrel.2025.114147,https://linkinghub.elsevier.com/retrieve/pii/S0168365925007588
10.1002/adma.202504830,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504830
10.1016/j.virs.2025.09.001,https://linkinghub.elsevier.com/retrieve/pii/S1995820X25001270
10.1080/17435889.2025.2555507,https://www.tandfonline.com/doi/full/10.1080/17435889.2025.2555507
10.1039/d5tb00470e,https://pubs.rsc.org/en/content/articlelanding/2025/tb/d5tb00470e
10.1002/adhm.202502455,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202502455
10.1186/s12951-025-03681-8,https://link.springer.com/article/10.1186/s12951-025-03681-8
10.1038/s41563-025-02320-9,https://www.nature.com/articles/s41563-025-02320-9
10.1007/s13346-025-01961-2,https://link.springer.com/article/10.1007/s13346-025-01961-2
10.3390/vaccines13080855,https://www.mdpi.com/2076-393X/13/8/855
